2a.3,2b.J8,2b.4,2b.5,2k,2r,Con1,3a,4a,5a,H77,1b.J4,2a.Jc1
809,84.17,55.46,100.00,60.50,76.22,66.50,59.28,100.00,61.75,40.25,81.55,83.93,70.30
810,27.74,48.15,81.74,34.53,59.88,41.12,69.55,40.51,18.69,6.57,31.74,22.75,62.63
811,72.00,60.27,97.28,82.84,64.14,55.15,100.00,81.26,26.79,9.17,93.08,43.72,68.21
812,69.21,68.18,100.00,100.00,68.12,52.72,88.37,55.23,39.34,14.74,30.65,48.06,78.05
813,69.68,43.65,100.00,89.92,100.00,57.41,97.92,46.97,53.09,22.18,30.33,38.41,71.65
814,52.75,56.44,100.00,76.77,31.37,38.79,23.57,37.59,25.84,4.41,11.36,18.14,50.75
815,100.00,53.70,100.00,71.70,100.00,63.57,82.27,94.77,71.91,26.47,9.36,69.96,64.01
816,87.81,73.23,97.07,50.51,94.05,53.03,54.14,55.83,47.43,3.79,22.25,48.86,39.95
817,89.64,99.23,36.09,83.23,100.00,43.63,96.69,59.51,34.17,7.99,20.07,47.13,89.40
818,81.48,96.71,86.16,82.47,100.00,60.12,73.94,100.00,57.40,17.15,27.11,85.37,87.07
819,27.92,45.23,53.40,28.88,33.16,24.22,62.64,28.92,19.83,2.09,11.45,13.14,48.45
820,80.54,100.00,100.00,97.01,100.00,55.66,86.06,100.00,53.50,13.17,82.04,46.11,81.77
821,100.00,87.08,100.00,66.74,100.00,31.83,82.32,61.00,35.61,7.26,33.34,24.99,61.35
824,75.85,86.38,99.44,70.69,100.00,49.47,57.62,93.68,45.58,6.44,37.84,72.78,70.55
825,80.81,96.62,74.64,65.05,70.07,44.70,43.67,100.00,25.96,7.98,11.97,17.59,68.78
826,80.68,71.91,73.75,67.82,75.98,33.81,22.31,80.91,13.17,4.22,11.34,25.71,68.62
827,92.80,64.17,100.00,99.94,98.78,62.88,94.18,98.03,24.13,8.32,31.24,38.28,63.21
828,91.49,96.97,100.00,93.28,72.99,72.38,69.45,100.00,39.30,26.05,82.39,100.00,76.17
829,96.42,67.08,100.00,100.00,100.00,65.45,100.00,100.00,62.13,32.49,43.51,52.24,65.97
830,79.38,68.74,100.00,100.00,100.00,82.01,89.45,100.00,89.53,81.13,100.00,100.00,74.39
831,83.69,79.56,81.08,78.26,70.51,82.04,70.30,91.40,18.88,18.51,60.86,49.80,93.63
832,58.15,57.47,80.85,58.94,69.08,76.06,47.87,77.65,26.80,15.91,38.91,57.51,95.03
833,12.69,27.30,21.81,62.60,15.38,33.72,14.86,51.70,7.12,6.79,17.89,5.52,77.79
834,57.07,65.35,57.89,65.02,78.73,93.28,72.66,78.34,47.85,20.09,55.67,63.61,81.74
835,55.17,82.50,74.18,76.02,100.00,94.57,71.20,80.79,68.77,35.76,62.70,100.00,69.29
836,60.52,71.99,53.78,45.66,100.00,83.05,67.61,66.36,40.84,16.07,16.17,64.86,100.00
837,51.26,71.13,67.61,87.33,70.65,89.10,81.62,59.00,38.61,15.31,31.28,54.37,100.00
838,100.00,100.00,88.64,84.17,100.00,100.00,79.10,84.01,100.00,91.96,100.00,100.00,92.94
839,100.00,100.00,81.76,100.00,74.89,100.00,59.89,100.00,36.49,24.97,87.92,48.17,100.00
840,98.18,64.17,79.17,78.59,78.16,98.71,92.83,100.00,69.53,63.95,100.00,85.61,100.00
841,64.67,47.77,80.48,60.24,63.82,68.36,43.10,75.72,27.50,9.84,29.37,29.77,98.90
842,45.14,55.35,39.48,60.48,31.12,60.92,63.82,82.35,12.54,4.53,23.91,18.86,85.33
843,68.20,59.81,71.73,72.93,71.39,92.34,80.69,73.30,39.81,14.73,35.12,47.22,87.84
844,47.54,7.27,45.78,NAn,18.84,15.58,NAn,23.15,0.22,3.09,NAn,0.17,71.85
847,58.27,54.85,90.31,NAn,82.88,68.56,NAn,69.07,17.31,27.42,NAn,21.34,100.00
848,42.74,5.62,61.50,NAn,48.57,40.18,NAn,44.43,0.68,18.69,NAn,7.95,72.30
849,50.47,5.66,43.62,NAn,17.47,14.45,NAn,35.04,1.27,4.69,NAn,3.32,69.56
37,75.96,90.31,100.00,71.78,49.63,100.00,81.29,8.94,55.83,27.01,NAn,7.73,78.90
39,71.70,79.95,100.00,85.93,55.81,88.18,66.56,26.65,31.24,18.82,NAn,7.48,98.66
41,42.20,52.91,100.00,61.58,100.00,47.18,85.10,1.43,20.88,7.61,NAn,1.33,69.82
46,75.51,100.00,100.00,100.00,94.66,77.34,84.26,21.71,51.89,23.76,NAn,9.61,100.00
47,76.31,56.38,100.00,95.63,61.23,73.31,71.94,5.12,21.57,7.15,NAn,10.27,95.39
49,71.19,92.74,100.00,97.77,100.00,72.19,100.00,37.44,70.27,33.36,NAn,8.74,100.00
50,67.24,61.46,100.00,93.96,80.44,66.75,72.13,15.15,16.58,5.88,NAn,2.86,33.98
52,63.24,88.03,94.25,100.00,83.56,48.18,97.21,17.46,53.38,5.86,NAn,2.40,38.82
54,85.88,100.00,100.00,84.56,100.00,68.44,97.84,78.82,100.00,73.19,NAn,67.14,100.00
55,55.65,71.93,100.00,78.47,71.88,39.89,60.05,6.31,22.66,6.82,NAn,1.68,100.00
57,53.74,54.40,60.93,47.41,44.55,27.66,72.88,11.04,15.70,7.00,NAn,0.30,92.79
59,70.86,99.47,55.74,81.41,93.46,49.76,100.00,25.58,14.35,8.74,NAn,3.25,88.49
61,71.55,68.69,100.00,100.00,34.06,64.18,NAn,7.98,8.46,12.39,NAn,0.31,99.86
62,52.66,44.51,71.71,100.00,78.11,58.24,NAn,5.00,17.70,8.61,NAn,2.67,91.77
65,86.21,86.28,100.00,100.00,100.00,78.31,100.00,100.00,94.63,100.00,NAn,100.00,100.00
66,60.59,96.64,100.00,100.00,68.57,49.70,90.24,19.88,36.01,10.74,NAn,4.04,100.00
67,58.71,58.48,100.00,100.00,79.01,80.09,100.00,21.87,41.65,9.20,NAn,9.56,83.89
69,16.59,3.01,8.35,2.00,20.30,11.53,56.35,10.89,23.38,6.75,NAn,0.00,55.06
70,28.87,59.36,97.57,100.00,17.35,30.78,39.53,3.30,8.11,1.13,NAn,0.35,79.76
71,42.69,80.84,75.15,100.00,21.95,38.03,69.99,9.77,11.48,1.59,NAn,5.67,77.97
